Temperature,Humidity
22,31
26,48
27,52
31,56
34,65
20,31
24,46
27,52
29,59
34,67
22,32
24,45
29,55
28,57
33,65
20,27
25,44
29,47
27,55
33,69
20,34
26,46
28,51
27,65
30,73
21,34
24,49
26,47
30,61
33,65
21,28
25,43
28,49
27,61
32,71
23,35
24,43
29,51
27,65
31,67
22,30
22,41
28,54
28,63
31,69
19,30
23,43
29,55
28,64
33,71
22,33
25,46
28,45
31,55
32,73
19,35
25,48
26,48
30,63
31,67
20,31
25,45
29,52
28,65
31,73
22,29
23,40
26,47
30,64
33,72
19,35
26,45
29,52
28,63
34,68
20,25
22,40
28,54
30,58
33,71
22,30
26,44
27,54
30,62
32,67
20,29
24,41
29,55
28,65
34,71
21,35
26,46
28,50
29,65
31,72
20,28
24,42
27,51
30,61
32,68
23,33
25,44
29,56
28,64
34,70
